City,State,Code
Rio Grande,Brazil,RIG
Rio Verde,Brazil,RVD
Salvadore,Brazil,SSA
Santarem,Brazil,STM
Sau Luiz,Brazil,SLZ
Tabatinga,Brazil,TBT
Tefe,Brazil,TFF
Teresina,Brazil,THE
Toledo,Brazil,TOW
Trombetas,Brazil,TMT
Tucurui,Brazil,TUR
Uberaba,Brazil,UBA
Uberlandia,Brazil,UDI
Uruguaiana,Brazil,URG
Varginha,Brazil,VAG
Vitoria da Conquista,Brazil,VDC
Geraldton,Australia,GET
Grenada,Grenada,GND
Palermo,Italy,PMO
Santa Barbara,Venezuela,STB
Al Arish,Egypt,AAC
Annaba,Algeria,AAE
Arapoti,Brazil,AAG
Aalborg,Denmark,AAL
Al Ain,United Arab Emirates,AAN
Anapa,Russia,AAQ
Aarhus,Denmark - Tirstrup,AAR
Altay,China,AAT
Al Ghaydah,Yemen,AAY
Abakan,Russia,ABA
Abadan,Iran,ABD
Allentown,PENNSYLVANIA,ABE
Bethlehem,PENNSYLVANIA,ABE
Easton,PENNSYLVANIA,ABE
Abilene,TEXAS,ABI
Abidjan,Cote d'Ivoire,ABJ
Kabri Dar,Ethiopia,ABK
Ambler,ALASKA,ABL
Bamaga,Australia,ABM
Albuquerque,NEW MEXICO,ABQ
Aberdeen,SOUTH DAKOTA,ABR
Abu Simbel,Egypt,ABS
Al-Baha,Saudi Arabia,ABT
Abuja,Nigeria,ABV
Albury,Australia,ABX
Aberdeen,United Kingdom,ABZ
Acapulco,Mexico,ACA
Accra,Ghana,ACC
Lanzarote,Spain,ACE
Altenrhein,Switzerland,ACH
Alderney,United Kingdom,ACI
Nantucket,MASSACHUSETTS,ACK
Waco,TEXAS,ACT
Arcata,CALIFORNIA,ACV
Eureka/Arcata,CALIFORNIA,ACV
Adana,Turkey,ADA
Izmir,Turkey,ADB
Addis Ababa,Ethopia,ADD
Aden,Yemen,ADE
Amman,Jordan - Civil/Marka Airport,ADJ
Adak Island,ALASKA,ADK
Adelaide,Australia,ADL
Kodiak,ALASKA,ADQ
Ardabil,Iran,ADU
San Andres Island,Colombia,ADZ
Aioun El Atrouss,Mauritania,AEO
Buenos Aires,Argentina - Jorge Newbery,AEP
Adler/Sochi,Russia,AER
Aalesund,Norway,AES
Allakaket,ALASKA,AET
Alexandria,LOUISIANA,AEX
Akureyri,Iceland,AEY
San Rafael,Argentina,AFA
Afutara,Soloman Islands,AFT
Agadir,Morocco,AGA
Augsburg/Munich,Germany,AGB
Anggi,Indonesia,AGD
Wangerooge,Germany,AGE
Agen,France,AGF
Argelholm/Helsingborg,Sweden,AGH
Aguni,Japan,AGJ
Wanigela,Papua New Guinea,AGL
Angoon,ALASKA,AGN
Malaga,Spain,AGP
Agra,India,AGR
Augusta,GEORGIA,AGS
Ciudad del Este,Paraguay,AGT
Aguascalientes,Mexico,AGU
Acarigua,Venezuela,AGV
Abha,Saudi Arabia,AHB
Athens,GEORGIA,AHN
Alghero,Italy,AHO
Al Hoceima,Morocco,AHU
Alliance,NEBRASKA,AIA
Airok,Marshall Islands,AIC
Ailuk Island,Marshall Islands,AIM
Wainwright,ALASKA,AIN
Aitutaki,Cook Islands,AIT
Atiu Island,Cook Islands,AIU
Atlantic City,NEW JERSEY,AIY
Ajaccio,France,AJA
Jouf,Saudi Arabia,AJF
Agri,Turkey,AJI
Aizawl,India,AJL
Arvidsjaur,Sweden,AJR
Araca,Brazil,AJU
Ankang,China,AKA
Atka,ALASKA,AKB
Kufrah,Libya,AKF
Akiak,ALASKA,AKI
Asahikawa,Japan,AKJ
Auckland,New Zealand,AKL
King Salmon,ALASKA,AKN
Anaktueuk,ALASKA,AKP
Auki,Solomon Islands,AKS
Aksu,China,AKU
Akulivik,Quebec,AKV
Aktyubinsk,Kazakhstan,AKX
Almaty,Kazakhstan,AKX
Sittwe,Myanmar,AKY
Albany,NEW YORK,ALB
Alicante,Spain,ALC
Alta,Norway,ALF
Algiers,Algeria,ALG
Alexander Bay,South Africa,ALJ
Alamogordo,NEW MEXICO,ALM
Waterloo,IOWA,ALO
Aleppo,Syrian Arab Republic,ALP
Alamosa,COLORADO,ALS
Walla Walla,WASHINGTON,ALW
Alexandria,Egypt,ALY
Amarillo,TEXAS,AMA
Ahmedabad,India,AMD
Arba Mintch,Ethiopia,AMH
Mataram,Indonesia,AMI
Amman,Jordan - Queen Alia International,AMM
Mao,Chad,AMO
Ambon,Indonesia,AMQ
Amsterdam,Netherlands,AMS
Amderma,Russia,AMV
Ambatomainty,Madagascar,AMY
Anchorage,ALASKA,ANC
Angers,France - Marce,ANE
Antofagasta,Chile,ANF
Angouleme,France,ANG
Aniak,ALASKA,ANI
Ankara,Turkey - Etimesqut,ANK
Antalaha,Madagascar,ANM
Antwerp,Belgium - Deurne Airport,ANR
Antigua,Antigua and Barbuda,ANU
V.C. Bird International,Antigua & Barbuda,ANU
Anvik,ALASKA,ANV
Andenes,Norway,ANX
Ancona,Italy,AOI
Aomori,Japan,AOJ
Karpathos,Greece,AOK
Paso de Los Libres,Argentina,AOL
Altoona,PENNSYLVANIA,AOO
Martinsburg,PENNSYLVANIA,AOO
Alorsetar,Malaysia,AOR
Aosta,Italy,AOT
Naples,FLORIDA,APF
Nampula,Mozambique,APL
Alpena,MICHIGAN,APN
Apartado,Colombia,APO
Apia,Western Samoa,APW
Anging,China,AQG
Qaisumah,Saudi Arabia,AQI
Aqaba,Jordan,AQJ
Arequipa,Peru,AQP
Arctic Village,ALASKA,ARC
Alor Island,Indonesia,ARD
Arkangelsk,Russia,ARH
Arica,Chile,ARI
Arusha,Tanzania,ARK
Armidale,Australia,ARM
Stockholm,Sweden - Arlanda,ARN
Aragip,Papua New Guinea,ARP
Alto Rio Senguerr,Argentina,ARR
Watertown,NEW YORK,ART
Aracatuba,Brazil,ARU
Arad,Romania,ARW
Ashgabat,Turkmenistan,ASB
Andros,Bahamas,ASD
Aspen,COLORADO,ASE
Astrakhan,Russia,ASF
Amami O Shima,Japan,ASJ
Asmara,Eritrea,ASM
Asosa,Ethopia,ASO
Alice Springs,Australia,ASP
Kayseri,Turkey,ASR
Asuncion,Paraguay,ASU
Amboseli,Kenya,ASV
Aswan,Egypt,ASW
Arthur's Town,Bahamas,ATC
Atoifi,Solomon Islands,ATD
Athens,Greece,ATH
Atqasuk,ALASKA,ATK
Atlanta,GEORGIA,ATL
Altamira,Brazil,ATM
Namatana,Papua New Guinea,ATN
Amritsar,India,ATQ
Appleton,WISCONSIN,ATW
Watertown,SOUTH DAKOTA,ATY
Assiut,Egypt,ATZ
Aruba,Aruba,AUA
Arauca,Colombia,AUC
Augusta,MAINE,AUG
Abu Dhabi,United Arab Emirates,AUH
Alakanuk,ALASKA,AUK
Aur Island,Marshall Islands,AUL
Agaun,Papua New Guinea,AUP
Atuona,French Polynesia,AUQ
Aurillac,France,AUR
Austin,TEXAS,AUS
Aurukun,Australia,AUU
Araguaina,Brazil,AUX
Aneityum,Vanuatu,AUY
Ciego De Avila,Cuba,AVI
Asheville,NORTH CAROLINA,AVL
Hendersonville,NORTH CAROLINA,AVL
Avignon,France,AVN
Scranton,PENNSYLVANIA,AVP
Wilkes Barre,PENNSYLVANIA,AVP
Aniwa,Vanuatu,AWD
Ahwaz,Iran,AWZ
Anguilla,Anguilla,AXA
Alexandroupolis,Greece,AXD
Ataq,Yemen,AXK
Armenia,Colombia,AXM
Spring Point,Bahamas,AXP
Akita,Japan,AXT
Ayers Rock,Australia,AYQ
Antalya,Turkey,AYT
Ayawaki,Indonesia,AYW
Amazon Bay,Papua New Guinea,AZB
Yazd,Iran,AZD
Andizhan,Uzbekistan,AZN
Kalamazoo,MICHIGAN,AZO
Adrar,Algeria,AZR
Bahrain,Bahrain,BAH
Baku,Azerbaijan,BAK
Batman,Turkey,BAL
Barranquilla,Colombia,BAQ
Balalae,Solomon Islands,BAS
Bauru,Brazil,BAU
Baotou,China,BAV
Barnaul,Russia,BAX
Baia Mare,Romania,BAY
Balmaceda,Chile,BBA
Bhubaneswar,India,BBI
Kasane,Botswana,BBK
Battambang,Cambodia,BBM
Bario,Malaysia,BBN
Berbera,Somalia,BBO
Bucharest,Romania - Baneasa,BBU
Baracoa,Cuba,BCA
Bacolod,Philippines,BCD
Barcaldine,Australia,BCI
Barra Colorado,Costa Rica,BCL
Barcelona,Spain,BCN
Jinka,Ethiopia,BCO
Brack,Libya,BCQ
Bermuda,Bermuda,BDA
Hamilton,Bermuda,BDA
Bundaberg,Australia,BDB
Badu Island,Australia,BDD
Bandar Lengeh,Iran,BDH
Banjarmasin,Indonesia,BDJ
Hartford,CONNECTICUT,BDL
Windsor Locks,CONNECTICUT,BDL
Bandung,Indonesia,BDO
Bhadrapur,Nepal,BDP
Vadodara,India,BDQ
Brindisi,Italy,BDS
Bardufoss,Norway,BDU
Benbecula,United Kingdom,BEB
Bedford,MASSACHUSETTS,BED
Belgrade,Serbia and Montenegro - Beograd,BEG
Benton Harbor,MICHIGAN,BEH
Beica,Ethiopia,BEI
Berau,Indonesia,BEJ
Belem,Brazil,BEL
Benghazi,Libya,BEN
Berlin,Germany - All airports,BER
Brest,France,BES
Bethel,ALASKA,BET
Bedourie,Australia,BEU
Beira,Mozambique,BEW
Beirut,Lebanon,BEY
Bradford,PENNSYLVANIA,BFD
Scottsbluff,NEBRASKA,BFF
Bakersfield,CALIFORNIA,BFL
Bloemfontein,South Africa,BFN
Bahia Pinas,Panama,BFQ
Belfast,Northern Ireland,BFS
Buri Ram,Thailand,BFV
Bucaramanga,Colombia,BGA
Banqui,Central African Republic,BGF
Bridgetown,Barbados,BGI
Binghamton,NEW YORK,BGM
Endicott,NEW YORK,BGM
Johnson City,NEW YORK,BGM
Bergen,Norway,BGO
Bangor,MAINE,BGR
Milan,Italy - Orio Al Serio,BGY
Bar Harbour,MAINE,BHB
Belfast,United Kingdom,BHD
Blenheim,New Zealand,BHE
Brus Laguna,Honduras,BHG
Bisha,Saudi Arabia,BHH
Bahia Blanca,Argentina,BHI
Bhuj,India,BHJ
Bukhara,Uzbekistan,BHK
Birmingham,ALABAMA,BHM
Bhopal,India,BHO
Broken Hill,Australia,BHQ
Bharatpur,Nepal,BHR
Bathurst,Australia,BHS
Bhavnagar,India,BHU
Bahawalpur,Pakistan,BHV
Birmingham,United Kingdom,BHX
Beihai,China,BHY
Bastia,France,BIA
Block Island,RHODE ISLAND,BID
Bikini Atoll,Marshall Islands,BII
Biak,Indonesia,BIK
Billings,MONTANA,BIL
Bimini,Bahamas,BIM
Bilbao,Spain,BIO
Biarritz,France,BIQ
Biratragar,Nepal,BIR
Bismarck,NORTH DAKOTA,BIS
Bejaia,Algeria,BJA
Bojnord,Iran,BJB
Batsfijord,Norway,BJF
Bemidji,MINNESOTA,BJI
Banjul,Gambia,BJL
Bujumbura,Burundi,BJM
Baharpar,Ethiopia,BJR
Bodrum,Turkey,BJV
Guanajuato,Mexico,BJX
Leon,Mexico,BJX
Badajcz,Spain,BJZ
Moscow,Russia - Bykovo,BKA
Buckland,ALASKA,BKC
Kota Kinabalu,Malaysia,BKI
Bangkok,Thailand,BKK
Bamako,Mali,BKO
Blackall,Australia,BKQ
Bengkulu,Indonesia,BKS
Beckley,WEST VIRGINIA,BKW
Brookings,SOUTH DAKOTA,BKX
Bukoba,Malaysia,BKZ
Barcelona,Venezuela,BLA
Borlange,Sweden,BLE
Bluefield,WEST VIRGINIA,BLF
Princeton,WEST VIRGINIA,BLF
Belaga,Mozambique,BLG
Bellingham,WASHINGTON,BLI
Batna,Algeria,BLJ
Blackpool,United Kingdom,BLK
Billund,Denmark,BLL
Bangalore,India,BLR
Blackwater,Australia,BLT
Belleville,ILLINOIS,BLV
Blantyre,Malawi,BLZ
Stockholm,Sweden - Bromma,BMA
Belo,Madagascar,BMD
Broome,Australia,BME
Bloomington,ILLINOIS,BMI
Borkum,Germany,BMK
Bhamo,Myanmar,BMO
Brampton Island,Australia,BMP
Bima,Indonesia,BMU
Banmethuot,Viet Nam - Phung-Doc,BMV
Belep Island,New Caledonia,BMY
Nashville,TENNESSEE,BNA
Bandar Abbas,Iran,BND
Brisbane,Australia,BNE
Bonn,Germany,BNJ
Ballina,Australia,BNK
Bronnoysund,Norway,BNN
Bannu,Pakistan,BNP
Barinas,Venezuela,BNS
Banja Luka,Bosnia Herzegovina,BNX
Bellona,Solomon Islands,BNY
Boma,Congo,BOA
Bora Bora,French Polynesia,BOB
Bocas Del Toro,Panama,BOC
Bordeaux,France,BOD
Bogota,Colombia,BOG
Bournemouth,United Kingdom,BOH
Boise,IDAHO,BOI
Bourgas,Bulgaria,BOJ
Bombay,India,BOM
Mumbai,India,BOM
Bonaire,Netherlands Antilles,BON
Bodo,Norway,BOO
Boston,MASSACHUSETTS,BOS
Boang,Papua New Guinea,BOV
Borroloola,Australia,BOX
Batuna,Solomon Islands,BPF
Balikpapan,Indonesia,BPN
Porto Seguro,Brazil,BPS
Beaumont/Port Arthur,TEXAS,BPT
Port Arthur/Beaumont,TEXAS,BPT
Bangda,China,BPX
Besalampy,Madagascar,BPY
London,United Kingdom - Biggin Hill,BQH
Brunswick,GEORGIA,BQK
Boulia,Australia,BQL
Aguadilla,Puerto Rico,BQN
Blagoveschensk,Russia,BQS
Barreiras,Brazil,BRA
San Carlos,Argentina,BRC
Brainerd,MINNESOTA,BRD
Bremen,Germany,BRE
Bari,Italy,BRI
Bourke,Australia,BRK
Burlington,IOWA,BRL
Barquisimeto,Venezuela,BRM
Berne,Switzerland - Belp Airport,BRN
Brownsville,TEXAS,BRO
Brno,Czech Republic - Turany,BRQ
Barra,United Kingdom,BRR
Bristol,United Kingdom,BRS
Bathurst Island,Australia,BRT
Brussels,Belgium - National,BRU
Barrow,ALASKA,BRW
Bossaro,Somalia,BSA
Brasilia,Brazil,BSB
Bahia Solano,Colombia,BSC
Baoshan,China,BSD
Biskra,Algeria,BSK
Basel,Switzerland,BSL
Basco,Philippines,BSO
Batam,Indonesia,BTH
Barter Island,ALASKA,BTI
Banda Aceh,Indonesia,BTJ
Bratsk,Russia,BTK
Butte,MONTANA,BTM
Baton Rouge,LOUISIANA,BTR
Bratislava,Slovakia,BTS
Bettles,ALASKA,BTT
Bintulu,Malaysia,BTU
Burlington,VERMONT,BTV
Buka,Papua New Guinea,BUA
Burketown,Australia,BUC
Budapest,Hungary,BUD
Buffalo,NEW YORK,BUF
Bokondini,Indonesia,BUI
Burao,Somalia,BUO
Bulawayo,Zimbabwe,BUQ
Burbank,CALIFORNIA,BUR
Batumi,Georgia,BUS
Bashehr,Iran,BUZ
Paris,France - Beauvais-Tille,BVA
Boavista,Brazil,BVB
Boa Vista,Cape Verde,BVC
Brive-La-Gaillarde,France - Laroche,BVE
Berlevag,Norway,BVG
Vilhena,Brazil,BVH
Birdsville,Australia,BVI
Bhairawa,Nepal,BWA
Brawnwood,TEXAS,BWD
Braunschweig,Denmark,BWE
Bowling Green,KENTUCKY,BWG
Baltimore,MARYLAND,BWI
Bol,Croatia,BWK
Bandar Seri Begawan,Brunei,BWN
Brewarrina,Australia,BWQ
Burnie,Australia,BWT
Babo,Indonesia,BXB
Bade,Indonesia,BXD
Batom,Indonesia,BXM
Bam,Iran,BXR
Butuan,Philippines,BXU
Bunsil,Papua New Guinea,BXZ
Boundary,ALASKA,BYA
Bayamo,Cuba,BYM
Bayreuth,Germany,BYU
Belize City,Belize - International,BZE
Bydgoszcz,Poland,BZG
Balikesir,Turkey,BZI
Barisal,Bangladesh,BZL
Bozeman,MONTANA,BZN
Bolzano,Italy,BZO
Beziers,France,BZR
Brazzaville,Congo,BZV
Cascavel,Brazil,CAC
Columbia,SOUTH CAROLINA,CAE
Cagliari,Italy,CAG
Cairo,Egypt,CAI
Akron/Canton,OHIO,CAK
Canton/Akron,OHIO,CAK
Campbeltown,United Kingdom,CAL
Guangzhou,China,CAN
Cap Haitien,Haiti,CAP
Caucasia,Colombia,CAQ
Canaima,Venezuela,CAS
Casablanca,Morocco - Anfa,CAS
Campos,Brazil,CAW
Cayenne,French Guiana,CAY
Cobar,Australia,CAZ
Cochabamba,Bolivia,CBB
Cumberland,MARYLAND,CBE
Cambridge,United Kingdom,CBG
Bechar,Algeria,CBH
Ciudad Bolivar,Venezuela,CBL
Cotabato,Philippines,CBO
Calabar,Nigeria,CBQ
Canberra,Australia,CBR
Carcassonne,France,CCF
Kozhikode,India,CCJ
Cocos Islands,Keeling Islands,CCK
Criciuma,Brazil,CCM
Concepcion,Chile,CCP
Concord,CALIFORNIA,CCR
Caracas,Venezuela,CCS
Calcutta,India,CCU
Kolkata,India,CCU
Craig Cove,Vanuatu,CCV
Cold Bay,ALASKA,CDB
Cedar City,UTAH,CDC
Paris,France - Charles Degaulle,CDG
Chadron,NEBRASKA,CDR
Cordova,ALASKA,CDV
Cebu,Philippines - Matan International,CEB
Crescent City,CALIFORNIA,CEC
Cedun,Australia,CED
Cherepovets,Russia,CEE
Chevepovets,Russia,CEE
Chester,United Kingdom,CEG
Chiang Rai,Thailand,CEI
Chelybinsk,Russia,CEK
Central,ALASKA,CEM
Ciudad Obregon,Mexico,CEN
Cannes,France - Mandelieu,CEQ
Cortez,COLORADO,CEZ
Coffee Point,ALASKA,CFA
Clermont-ferrand,France,CFE
Donegal,Ireland,CFN
Caen,France,CFR
Coffs Harbor,Australia,CFS
Kerkyra,Greece,CFU
Craig,ALASKA,CGA
Cuiaba,Brazil,CGB
Changde,China,CGD
Sao Paulo,Brazil - Congonhas,CGH
Cape Girardeau,MISSOURI,CGI
Jakarta,Indonesia,CGK
Cologne,Germany - Cologne/Bonn,CGN
Zhengzha,China,CGO
Chittagong,Bangladesh,CGP
Changchun,China,CGQ
Campo Grande,Brazil,CGR
Chicago,IL - Meigs,CGX
Cagayan De Oro,Philippines - Lumbia,CGY
Chattanooga,TENNESSEE,CHA
Christchurch,New Zealand,CHC
Chaoyang,China,CHG
Chicago,IL - All airports,CHI
Charlottesville,VIRGINIA,CHO
Circle Hot Springs,ALASKA,CHP
Chania,Greece,CHQ
Charleston,SOUTH CAROLINA,CHS
Chatham Island,New Zealand,CHT
Chuathbaluk,ALASKA,CHU
Changuinda,Panama,CHX
Choiseul Bay,Solomon Islands,CHY
Rome,Italy - Ciampino,CIA
Chico,CALIFORNIA,CIC
Cedar Rapids,IOWA,CID
Chifeng,China,CIF
Cobija,Bolivia,CIJ
Chalkyitsik,ALASKA,CIK
Chipata,Zambia,CIP
Shimkent,Kazakhstan,CIT
Sault Ste Marie,MICHIGAN,CIU
Canouan,Saint Vincent and the Grenadines,CIW
Chicayo,Peru,CIX
Cajamarca,Peru,CJA
Coimbatore,India,CJB
Calama,Chile,CJC
Cheongju,South Korea,CJJ
Chitral,Pakistan,CJL
Ciudad Juarez,Mexico,CJS
Jeju,South Korea - Jeju Airport,CJU
Clarksburg,WEST VIRGINIA,CKB
Chongqing,China,CKG
Croker Island,Australia,CKI
Crooked Creek,ALASKA,CKO
Carajas,Brazil,CKS
Chicken,ALASKA,CKX
Conakry,Guinea,CKY
Carlsbad,CALIFORNIA,CLD
Cleveland,OHIO,CLE
Cluj,Romania,CLJ
College Station,TEXAS,CLL
Port Angeles,WASHINGTON,CLM
Cali,Colombia,CLO
Clarks Point,ALASKA,CLP
Colima,Mexico,CLQ
Charlotte,NORTH CAROLINA,CLT
Calvi,France,CLY
Cunnamulla,Australia,CMA
Colombo,Sri Lanka,CMB
Ciudad Del Carmen,Mexico,CME
Chambery,France,CMF
Corumba,Brazil,CMG
Columbus,OHIO,CMH
Champaign/Urbana,ILLINOIS,CMI
Urbana/Champaign,ILLINOIS,CMI
Chi Mei,Taiwan,CMJ
Club Makokola,Malawi,CMK
Casablanca,Morocco - Mohamed V,CMN
Kundiawa,Papau New Guinea,CMU
Camaguey,Cuba,CMW
Hancock,MICHIGAN,CMX
Coonamble,Australia,CNB
Coconut Island,Australia,CNC
Constanta,Romania,CND
Belo Horizonte,Brazil - Tancredo Neves Intl.,CNF
Blo Horizonte,Brazil,CNF
Cloncurry,Australia,CNJ
Concordia,KANSAS,CNK
Carlsbad,NEW MEXICO,CNM
Neerlerit Inaat,Greenland,CNP
Corrientes,Argentina,CNQ
Cairns,Australia,CNS
Chiang Mai,Thailand,CNX
Moab,UTAH,CNY
Concordia,Argentina,COC
Cotarou,Benin,COC
Cody/Yellowstone,WY,COD
Yellowstone/Cody,WY,COD
,,
Condoto,Colombia,COG
Cochin,India,COK
Cordoba,Argentina,COR
Colorado Springs,COLORADO,COS
Columbia,MISSOURI,COU
San Martin De Los Andes,Argentina,CPC
Coober Pedy,Australia,CPD
Campeche,Mexico,CPE
Copenhagen,Denmark,CPH
Cape Orford,Papua New Guinea,CPI
Copiapo,Chile,CPO
Campinas,Brazil,CPQ
Casper,WY,CPR
Cape Town,South Africa,CPT
Campina Grande,Brazil,CPV
Camodoro,Argentina,CRD
Crooked Island,Bahamas,CRI
Brussels,Belguim - Charleroi,CRL
Corpus Christi,TEXAS,CRP
Crotone,Italy,CRV
Charleston,WEST VIRGINIA,CRW
Columbus,GEORGIA,CSG
Casino,Australia,CSI
Castaway,Fiji,CST
Cheboksary,Russia,CSY
Catania,Italy,CTA
Catamarca,Argentina,CTC
Chitre,Panama,CTD
Cartagena,Colombia,CTG
Charleville,Australia,CTL
Chetumal,Mexico,CTM
Cooktown,Australia,CTN
Sapporo,Japan - Chitose,CTS
Chergdu,China,CTU
Cucata,Colombia,CUC
Cuenca,Ecuador,CUE
Culiacan,Mexico,CUL
Cumana,Venezuela,CUM
Cancun,Mexico,CUN
Carupani,Venezuela,CUP
Coen,Australia,CUQ
Curacao,Netherlands Antilles,CUR
Chihuahua,Mexico,CUU
Cube Cove,ALASKA,CUW
Cuzco,Peru,CUZ
Cleve,Australia,CVC
Cincinnati,OHIO,CVG
Cuernavaca,Mexico,CVJ
Cape Vogel,Papua New Guinea,CVL
Ciudad Victoria,Mexico,CVM
Clovis,NEW MEXICO,CVN
Albany,OR - Bus service,CVO
Carnarvon,Australia,CVQ
Corvo Island,Portugal,CVU
Stevens Point/Wausau,WISCONSIN,CWA
Wausau/Stevens Point,WISCONSIN,CWA
Curitiba,Brazil,CWB
Cardiff,United Kingdom,CWL
Cox's Bazar,Bangladesh,CXB
Vancouver,BC - Coal Harbour,CXH
Caxias Do Sul,Brazil,CXJ
Cayman Brac Is,Cambodia,CYB
Chefornak,ALASKA,CYF
Chiayi,Taiwan,CYI
Cayo Largo Del Sur,Cuba,CYO
Cheyenne,WY,CYS
Coro,Venezuela,CZE
Corozal,Belize,CZH
Constantine,Algeria,CZL
Cozumel,Mexico,CZM
Chisana,ALASKA,CZN
Cruzeiro Do Sul,Brazil,CZS
Changzhou,China,CZX
Daytona Beach,FLORIDA,DAB
Dhaka,Bangledesh - Zia International,DAC
Da Nang,Viet Nam,DAD
Damascus,Syrian Arab Republic,DAM
Dar Es Salaam,Tanzania,DAR
Daru,Papua New Guinea,DAU
David,Panama,DAV
Daxian,China,DAX
Dayton,OHIO,DAY
Debra Marcos,Ethiopia,DBM
Dubbo,Australia,DBO
Dubuque,IOWA,DBQ
Debra Tabor,Ethiopia,DBT
Dubrovnik,Croatia,DBV
Washington DC - National,WASHINGTON DC,DCA
Dominica,Dominica - Cane Field,DCF
Castres,France,DCM
Dodge City,KANSAS,DDC
Daydream Is,Australia,DDI
Dodoima,Papua New Guinea,DDM
Dera Ghazi,Pakistan,DEA
Decatur,ILLINOIS,DEC
Delhi,India,DEL
Dembidollo,Ethiopia,DEM
Denver,CO - International,DEN
Derim,Papua New Guinea,DER
Deirezzor,Syria - Al Jafrah,DEZ
Dallas/Fort Worth,TEXAS,DFW
Fort Worth/Dallas,TEXAS,DFW
Dangriga,Belize,DGA
Mudgee,Australia,DGE
Durango,Mexico,DGO
Dumaguete,Philippines,DGT
Dothan,ALABAMA,DHN
Dibrugarn,India,DIB
Antsiranana,Madagascar,DIE
Dijon,France,DIJ
Dickinson,NORTH DAKOTA,DIK
Dili,Indonesia,DIL
Dien Bien Phu,Viet Nam - Gialam,DIN
Dire Dawa,Ethiopia,DIR
Div,India,DIU
Diyarbakir,Turkey,DIY
Jambi,Indonesia,DJB
Djerba,Tunisia,DJE
Djanet,Algeria,DJG
Jayapura,Indonesia,DJJ
Delta Junction,ALASKA,DJN
Dunk Island,Australia,DKI
Dakar,Senegal,DKR
Dovala,Cameroon,DLA
Dalian,China,DLC
Dillingham,ALASKA,DLG
Duluth,MINNESOTA,DLH
Dalat,Viet Nam � Lienkhang,DLI
Dalaman,Turkey,DLM
Dali City,China,DLU
Dillons Bay,Vanuata,DLY
Doomadgee,Australia,DMD
Moscow,Russia - Domodedovo,DME
Dammam,Saudi Arabia,DMM
Dimapur,India,DMU
Dundee,United Kingdom,DND
Dunhuang,China,DNH
Dnepropetrovsk,Ukraine,DNK
Denham,Australia,DNM
Dinard,France,DNR
Denizli,Turkey,DNZ
Dobo,Indonesia,DOB
